variable,var,bin,count,count_distr,good,bad,badprob,woe,bin_iv,total_iv,Prop_iv,Max_IV_test,IV_test,breaks,is_special_values,counter,num_bin,Trend,Trend_Business,Gini_train,Gini_oot,Relative_diff,keep
DAYS_SINCE_LAST_PAYMENT,DAYS_SINCE_LAST_PAYMENT_woe,-99999.0,103,0.02801196627685613,76,27,0.2621359223300971,0.36231204701856706,0.004078491307711895,0.02647013484296839,0.15407897737987228,0,0,-99999.0,True,1,4,Increasing,Increasing,0.06010631466684524,0.06623846068290495,0.10203237963493701,1
DAYS_SINCE_LAST_PAYMENT,DAYS_SINCE_LAST_PAYMENT_woe,"[-inf,25.0)",236,0.06418275768289367,202,34,0.1440677966101695,-0.3846986514844742,0.008417898714763667,0.02647013484296839,0.31801495401145735,0,0,25.0,False,2,4,Increasing,Increasing,0.06010631466684524,0.06623846068290495,0.10203237963493701,1
DAYS_SINCE_LAST_PAYMENT,DAYS_SINCE_LAST_PAYMENT_woe,"[25.0,75.0)",2148,0.5841718792493881,1750,398,0.18528864059590316,-0.08371054033255296,0.003990434106547661,0.02647013484296839,0.15075231502296982,0,0,75.0,False,3,4,Increasing,Increasing,0.06010631466684524,0.06623846068290495,0.10203237963493701,1
DAYS_SINCE_LAST_PAYMENT,DAYS_SINCE_LAST_PAYMENT_woe,"[75.0,inf)",1190,0.3236333967908621,920,270,0.226890756302521,0.1712568102558578,0.009983310713945167,0.02647013484296839,0.3771537535857006,0,0,inf,False,4,4,Increasing,Increasing,0.06010631466684524,0.06623846068290495,0.10203237963493701,1
OUTSTANDING_BALANCE_UNSECURED_PERCENTAGE,OUTSTANDING_BALANCE_UNSECURED_PERCENTAGE_woe,"[-inf,16.0)",1317,0.35817242317106335,1019,298,0.22627182991647685,0.16772497458324861,0.010586980909677864,0.016990008227666616,0.6231298282974325,0,0,16.0,False,1,2,Decreasing,Increasing,0.06312107624987662,0.008758758758758756,0.8615264261666855,0
OUTSTANDING_BALANCE_UNSECURED_PERCENTAGE,OUTSTANDING_BALANCE_UNSECURED_PERCENTAGE_woe,"[16.0,inf)",2360,0.6418275768289367,1929,431,0.1826271186440678,-0.10144040150141224,0.006403027317988752,0.016990008227666616,0.3768701717025675,0,0,inf,False,2,2,Decreasing,Increasing,0.06312107624987662,0.008758758758758756,0.8615264261666855,0
ACCOUNT_TYPE_COUNT,ACCOUNT_TYPE_COUNT_woe,"[-inf,2.0)",467,0.12700571117759044,344,123,0.2633832976445396,0.3687512192995882,0.01918796931533613,0.022347300084821883,0.8586258403702403,0,0,2.0,False,1,2,Decreasing,Decreasing,0.052034998967005475,0.020070070070070223,0.6147101710949087,1
ACCOUNT_TYPE_COUNT,ACCOUNT_TYPE_COUNT_woe,"[2.0,inf)",3210,0.8729942888224096,2604,606,0.18878504672897195,-0.06071549595857636,0.0031593307694857526,0.022347300084821883,0.14137415962975974,0,0,inf,False,2,2,Decreasing,Decreasing,0.052034998967005475,0.020070070070070223,0.6147101710949087,1
MAX_DPD_LAST_24_MONTHS,MAX_DPD_LAST_24_MONTHS_woe,"[-inf,3.0)",2862,0.7783519173239054,2341,521,0.18204053109713486,-0.10537490443697474,0.008368880468685043,0.03427711614160032,0.2441535756425021,0,0,3.0,False,1,2,Increasing,Increasing,0.07942005274785813,0.06671671671671686,0.15999163767180435,1
MAX_DPD_LAST_24_MONTHS,MAX_DPD_LAST_24_MONTHS_woe,"[3.0,inf)",815,0.22164808267609465,607,208,0.2552147239263804,0.3262178099423887,0.025908235672915277,0.03427711614160032,0.7558464243574979,0,0,inf,False,2,2,Increasing,Increasing,0.07942005274785813,0.06671671671671686,0.15999163767180435,1
