USER_ID,LOAN_ID,DISBURSED_DATE,BAD_FLAG,LAST_1_MONTH_CUSTOMERS,LAST_2_MONTH_CUSTOMERS,LAST_3_MONTH_CUSTOMERS,RATIO_OF_CUSTOMERS_ADDED_L1_L3_MNTH,DELETED_CUSTOMERS,LAST_1_MONTH_BOOKS,LAST_2_MONTH_BOOKS,LAST_3_MONTH_BOOKS,RATIO_OF_BOOKS_ADDED_L1_L3_MNTH,DELETED_BOOKS,TOTAL_APPS,BUSINESS_APPS,FINANCE_APPS,BUSINESS_TOTALAPPS_PROPORTION,FINANCE_TOTALAPPS_PROPORTION,DEVICE_CARRIER_GROUP,PRICE,BUSINESS_CARD_FLAG,pred_train1,logodds_score,Calib_PD,Act_pred
669e7e20-5f4a-45aa-b873-be99cc4c4b78,464,26/09/21,0,8,16,17,0.470588,2,0,0,0,,0,389,13,22,0.033419,0.056555,AIRTEL,70,,0.004813902,-5.331422,0.03260619,0.083808845
21b382a0-4db0-45f6-8df1-8c44709f8092,18876,17/06/22,0,3,3,3,1,0,0,0,0,,0,162,8,68,0.049383,0.419753,OTHERS,21,,0.004862869,-5.321252,0.03271303,0.083808845
13ac9890-f518-4c1d-b15c-7bc872ca936c,15582,21/05/22,0,4,5,6,0.666667,36,0,0,0,,0,52,9,13,0.173077,0.25,AIRTEL,70,,0.004883496,-5.3169985,0.032757813,0.062666667
860a0e6d-f423-4d7f-a13d-95eed77bfafd,16757,30/05/22,0,5,7,10,0.5,9,0,0,0,,0,189,16,36,0.084656,0.190476,JIO,70,,0.004915257,-5.310484,0.03282652,0.062666667
da098d1b-1e5d-49f8-a225-6c23ff49b79f,17477,10/06/22,0,9,18,21,0.428571,13,0,0,0,,0,98,21,15,0.214286,0.153061,JIO,17.2,,0.005042365,-5.284825,0.033098491,0.062666667
db1cf5ad-fb04-41b8-9390-8c7c07a20512,1060,14/10/21,0,17,25,32,0.53125,65,0,0,0,,0,72,21,16,0.291667,0.222222,JIO,8.5,,0.005300605,-5.2346196,0.033636946,0.062666667
65fda3a2-3a16-45fb-9ca3-c9e21da8b81c,22118,21/06/22,0,1,1,1,1,32,0,0,0,,1,132,19,51,0.143939,0.386364,AIRTEL,20,,0.005431459,-5.210101,0.033902972,0.062666667
cf93e696-943e-4503-a537-c077a72a291d,3156,17/02/22,0,8,11,14,0.571429,20,0,1,1,0,1,157,18,18,0.11465,0.11465,JIO,70,1,0.005460675,-5.204707,0.033961769,0.062666667
843efbc4-555c-4629-b8ff-47f3df69dbb3,7325,21/03/22,0,2,3,3,0.666667,0,0,0,0,,0,210,25,76,0.119048,0.361905,JIO,16,,0.005460816,-5.2046814,0.03396205,0.062666667
86849b8f-1158-4f1d-88c1-60d386269d1e,11154,12/04/22,0,0,0,0,,0,0,0,0,,0,84,19,13,0.22619,0.154762,JIO,30,,0.005481014,-5.200969,0.034002572,0.062666667
abe16fd6-07ef-41d4-940a-196f11049c66,19427,16/06/22,0,3,14,16,0.1875,3,0,0,0,,0,45,4,17,0.088889,0.377778,JIO,21,,0.005510116,-5.1956444,0.034060779,0.062666667
cd7d5bba-424f-42f8-a758-f4b13be41b12,420,26/09/21,0,24,37,39,0.615385,54,0,0,1,0,1,94,23,13,0.244681,0.138298,JIO,15,,0.005553568,-5.1877456,0.034147299,0.062666667
3b2f7d51-eb3a-4d5c-8f91-3b354b1ee3ea,1556,10/01/22,0,5,16,23,0.217391,7,0,0,0,,0,131,6,38,0.045802,0.290076,AIRTEL,55,,0.005561529,-5.186305,0.034163101,0.083808845
8c90e83d-ba78-4164-bdcb-a73b8ed7fd51,25628,30/06/22,0,0,0,0,,,0,0,0,,0,46,10,11,0.217391,0.23913,JIO,14,,0.005562825,-5.186071,0.03416567,0.062666667
ba52acc5-021c-4f7e-a295-392b730547ea,1960,24/01/22,0,0,0,0,,2,0,0,0,,0,41,9,4,0.219512,0.097561,JIO,70,,0.005593061,-5.1806197,0.034225535,0.062666667
f60039d2-97f8-4796-a00b-17a2c12e7fdd,8691,28/03/22,0,12,23,33,0.363636,4,0,0,0,,2,94,11,32,0.117021,0.340426,BSNL,15,,0.005596662,-5.1799726,0.034232648,0.062666667
